"ID","FunctionID","Endpoint","PoolingWeight","Seasonal_Metric","Study_Author","Study_Year","Start_Age","End_Age","Function","Adjusted","Parameter_1_Beta","A","Name_A","B","Name_B","C","Name_C","Cases","IncidenceEndpoint"
33,34,"O3 ER visits, respiratory",0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001182352,0.000396325,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"ER visits, respiratory"
34,35,"O3 ER visits, respiratory",0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001182352,0.000594581,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"ER visits, respiratory"
35,36,"O3 ER visits, respiratory",0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001182352,0.000396325,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"ER visits, respiratory"
36,37,"O3 ER visits, respiratory",0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001951607,0.000488327,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"ER visits, respiratory"
37,38,"O3 HA, All Respiratory",1.0,Ozone,Katsouyanni et al.,2009,65,99,(1-(1/EXP(Beta*A*DELTAO)))*Incidence*POP,0.000279609,0.000175538,1.13,Mean summer ratio of 1 hr max to 8 hr max ozone; 78 communities 2000 - 2004 from Anderson and Bell 2008; used to scale beta value to 8-hr max exposure metric,0.0,"0.0",0.0,"0.0",0,"Hospital Admissions, Respiratory"
38,39,"O3 Asthma Symptoms, Chest Tightness",1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.011395097,0.005048941,0.127,Symptom Prevalence,0.0,"0.0",0.0,"0.0",0,"Asthma Symptoms, Chest Tightness"
39,40,"O3 Asthma Symptoms, Cough",1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.007083043,0.003718015,0.301,Symptom Prevalence,0.0,"0.0",0.0,"0.0",0,"Asthma Symptoms, Cough"
40,41,"O3 Asthma Symptoms, Shortness of Breath",1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.004228666,0.003857042,0.185,Symptom Prevalence,0.0,"0.0",0.0,"0.0",0,"Asthma Symptoms, Shortness of Breath"
41,42,"O3 Asthma Symptoms, Wheeze",1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.007638602,0.004096148,0.194,Symptom Prevalence,0.0,"0.0",0.0,"0.0",0,"Asthma Symptoms, Wheeze"
42,43,"O3 Incidence, Hay Fever/Rhinitis",1.0,Annual,Parker et al.,2009,3,17,(1-(1/((1-Incidence)*EXP(Beta*A*DELTAO)+Incidence)))*Incidence*POP,0.016551444,0.003898959,0.653594771,Inverse of mean summer ratio of 8 hr max to 24 hr mean ozone (1.53); 78 communities 2000 - 2004 from Anderson and Bell 2008 (Table 2); used to scale beta value to 8-hr max exposure metric,0.0,"0.0",0.0,"0.0",0,"Incidence, Hay Fever/Rhinitis"
43,44,"O3 Incidence, Asthma",1.0,Annual,Tetreault et al.,2016,0,4,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*(1-A),0.020754187,0.0014627,0.038,Prevalence of Asthma,0.0,"0.0",0.0,"0.0",0,"Incidence, Asthma"
44,45,"O3 Incidence, Asthma",0.5,Annual,Tetreault et al.,2016,5,17,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*(1-A),0.020754187,0.0014627,0.089307692,Prevalence of Asthma,0.0,"0.0",0.0,"0.0",0,"Incidence, Asthma"
45,46,"O3 Incidence, Asthma",0.5,Annual,Garcia et al.,2019,9,18,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*(1-A),0.016946392,0.010941041,0.0947,Prevalence of Asthma,0.0,"0.0",0.0,"0.0",0,"Incidence, Asthma"
46,47,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Mar and Koenig,2009,0,14,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.010436002,0.004357595,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
47,48,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Mar and Koenig,2009,15,17,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.010436002,0.004357595,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
48,49,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Mar and Koenig,2009,18,34,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,0.002687768,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
49,50,"O3 Emergency Room Visits, Asthma",0.5,Annual,Mar and Koenig,2009,35,44,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,0.002687768,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
50,51,"O3 Emergency Room Visits, Asthma",0.5,Annual,Mar and Koenig,2009,45,64,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,0.002687768,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
51,52,"O3 Emergency Room Visits, Asthma",0.5,Annual,Mar and Koenig,2009,65,74,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,0.002687768,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
52,53,"O3 Emergency Room Visits, Asthma",0.5,Annual,Mar and Koenig,2009,75,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,0.002687768,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
53,54,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Paulu and Smith,2008,2,14,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.010436002,0.005027139,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
54,55,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Paulu and Smith,2008,15,17,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.014842001,0.003524243,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
55,56,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Paulu and Smith,2008,18,34,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.014842001,0.003524243,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
56,57,"O3 Emergency Room Visits, Asthma",0.166666667,Annual,Villeneuve et al.,2007,2,4,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.003237162,0.003342244,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
57,58,"O3 Emergency Room Visits, Asthma",0.166666667,Annual,Villeneuve et al.,2007,5,14,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.007279348,0.00235716,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
58,59,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Villeneuve et al.,2007,15,17,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.005797779,0.001789877,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
59,60,"O3 Emergency Room Visits, Asthma",0.333333333,Annual,Villeneuve et al.,2007,18,34,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.005797779,0.001789877,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
60,61,"O3 Emergency Room Visits, Asthma",0.5,Annual,Villeneuve et al.,2007,35,44,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.005797779,0.001789877,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
61,62,"O3 Emergency Room Visits, Asthma",0.5,Annual,Villeneuve et al.,2007,45,64,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.006296038,0.003275393,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
62,63,"O3 Emergency Room Visits, Asthma",0.5,Annual,Villeneuve et al.,2007,65,74,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.007279348,0.005543922,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
63,64,"O3 Emergency Room Visits, Asthma",0.5,Annual,Villeneuve et al.,2007,75,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,-0.000558352,0.006683743,0.0,"0.0",0.0,"0.0",0.0,"0.0",0,"Emergency Room Visits, Asthma"
64,65,"O3 School Loss Days, All Cause",1.0,Annual,Gilliland et al.,2001,5,17,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*A*B,0.007824,0.004444898,0.3929,Scalar for % of school days in ozone season,0.945,Population of school children at-risk for a new absence,0.0,"0.0",0,School Loss Days
65,66,"O3 Mortality, Long-term exposure",1.0,Annual,Turner et al.,2016,30,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.007696104,0.001175794,0.0,"0",0.0,"0",0.0,"0.0",0,"Mortality, Respiratory"
66,67,"O3 Mortality, Short-term exposure",0.5,Ozone,Katsouyanni et al.,2009,0,99,(1-(1/EXP(Beta*B*DELTAO)))*Incidence*POP*A,0.000727348,0.000567311,0.002739726,Scalar to convert annual mortality rate to daily rate,1.13,Mean summer ratio of 1 hr max to 8 hr max ozone; 78 communities 2000 - 2004 from Anderson and Bell 2008; used to scale beta value to 8-hr max exposure metric,0.0,"0.0",0,"Mortality, Respiratory"
67,68,"O3 Mortality, Short-term exposure",0.5,Ozone,Zanobetti and Schwartz,2008,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*A,0.000826574,0.000227703,0.002739726,Scalar to convert annual mortality rate to daily rate,0.0,"0.0",0.0,"0.0",0,"Mortality, Respiratory"
