"CRFunctionID","Endpoint","AirPollutant","PoolingWeight","Seasonal_Metric","Study_Author","Study_Year","Start_Age","End_Age","Function","Beta","Adjusted","Parameter_1_Beta","A","Name_A","B","Name_B","C","Name_C","Cases","HealthEffect","ValuationMethod","Value","ApplyDiscount","IncidenceEndpoint"
20,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,35,44,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",20855.579999999998,YES,"Incidence, Lung Cancer"
21,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,45,54,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",26994.05,YES,"Incidence, Lung Cancer"
22,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,55,64,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",32952.08,YES,"Incidence, Lung Cancer"
23,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,65,74,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",37802.92,YES,"Incidence, Lung Cancer"
24,"PM Incidence, Lung Cancer",PM2.5,1.0,Annual,Gharibvand et al.,2016,75,84,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.037843644,No,0.013121408,0.0,,0.0,,0.0,,0,"Incidence, Lung Cancer","SEER Age-Distribution Adjustment Factor; COI: 5 yrs med, 3%, 7% DR, Kaye (2018)",41154.04,YES,"Incidence, Lung Cancer"
25,"PM Incidence, Hay Fever/Rhinitis",PM2.5,1.0,Annual,Parker et al.,2009,3,17,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.025464222,No,0.00961804,0.0,,0.0,,0.0,,0,"Incidence, Hay Fever/Rhinitis",COI: 1 yr med costs,865.46,NO,"Incidence, Hay Fever/Rhinitis"
26,"PM Incidence, Asthma",PM2.5,1.0,Annual,Tetreault et al.,2016,0,4,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*(1-A),0.04367212,No,0.000884555,0.038,Prevalence of Asthma,0.0,,0.0,,0,"Incidence, Asthma","COI: lifetime med, lifetime productivity, 3%, 7% DR",63797.29,YES,"Incidence, Asthma"
27,"PM Incidence, Asthma",PM2.5,1.0,Annual,Tetreault et al.,2016,5,17,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP*(1-A),0.04367212,No,0.000884555,0.089307692,Prevalence of Asthma,0.0,,0.0,,0,"Incidence, Asthma","COI: lifetime med, lifetime productivity, 3%, 7% DR",63797.29,YES,"Incidence, Asthma"
28,PM Infant Mortality,PM2.5,1.0,Annual,Woodruff et al.,2008,0,0,(1-(1/((1-Incidence)*EXP(Beta*DELTAQ)+Incidence)))*Incidence*POP,0.005602959,No,0.004539458,0.0,,,,0.0,,0,Infant Mortality,"VSL, based on 26 value-of-life studies, no D.R. applied",12252752.709999999,NO,"Mortality, All Cause"
29,"PM Mortality, All Cause (low)",PM2.5,1.0,Annual,Wu et al.,2020,65,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.00639,No,0.0003829,0.0,,,,0.0,,0,"Mortality, All Cause","VSL, based on 26 value-of-life studies, with Cessation Lag, 3%, 7% d.r.",12252752.709999999,YES,"Mortality, All Cause"
31,"PM Mortality, All Cause (high)",PM2.5,1.0,Annual,Pope et al.,2019,18,99,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.01133,No,0.001602064,0.0,,,,0.0,,0,"Mortality, All Cause","VSL, based on 26 value-of-life studies, with Cessation Lag, 3%, 7% d.r.",12252752.709999999,YES,"Mortality, All Cause"
32,PM Work Loss Days,PM2.5,1.0,Daily,Ostro,1987,18,64,(1-(1/EXP(Beta*DELTAQ)))*Incidence*POP,0.0046,No,0.00036,0.0,,,,0.0,,0,Work Loss Days,"Median daily wage, county-specific",245.4,NO,Work Loss Days
33,"O3 ER visits, respiratory",O3,0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.000792105,No,0.000298677,0.0,0.0,0.0,0.0,0.0,0.0,0,"ER visits, respiratory",COI: med costs,1261.7,NO,"ER visits, respiratory"
34,"O3 ER visits, respiratory",O3,0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001182352,No,0.000396325,0.0,0.0,0.0,0.0,0.0,0.0,0,"ER visits, respiratory",COI: med costs,1261.7,NO,"ER visits, respiratory"
35,"O3 ER visits, respiratory",O3,0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001182352,No,0.000594581,0.0,0.0,0.0,0.0,0.0,0.0,0,"ER visits, respiratory",COI: med costs,1261.7,NO,"ER visits, respiratory"
36,"O3 ER visits, respiratory",O3,0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001182352,No,0.000396325,0.0,0.0,0.0,0.0,0.0,0.0,0,"ER visits, respiratory",COI: med costs,1261.7,NO,"ER visits, respiratory"
37,"O3 ER visits, respiratory",O3,0.2,Ozone,Barry et al.,2018,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.001951607,No,0.000488327,0.0,0.0,0.0,0.0,0.0,0.0,0,"ER visits, respiratory",COI: med costs,1261.7,NO,"ER visits, respiratory"
38,"O3 HA, All Respiratory",O3,1.0,Ozone,Katsouyanni et al.,2009,65,99,(1-(1/EXP(Beta*A*DELTAO)))*Incidence*POP,0.000279609,No,0.000175538,1.13,Mean summer ratio of 1 hr max to 8 hr max ozone; 78 communities 2000 - 2004 from Anderson and Bell 2008; used to scale beta value to 8-hr max exposure metric,0.0,0.0,0.0,0.0,0,"HA, All Respiratory",COI: med costs + wage loss,13950.2,NO,"Hospital Admissions, Respiratory"
39,"O3 Asthma Symptoms, Chest Tightness",O3,1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.011395097,No,0.005048941,0.127,Symptom Prevalence,0.0,0.0,0.0,0.0,0,"Asthma Symptoms, Chest Tightness","WTP: 1 symptom-day, Dickie and Mesmen (2005)",300.54,NO,"Asthma Symptoms, Chest Tightness"
40,"O3 Asthma Symptoms, Cough",O3,1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.007083043,No,0.003718015,0.301,Symptom Prevalence,0.0,0.0,0.0,0.0,0,"Asthma Symptoms, Cough","WTP: 1 symptom-day, Dickie and Mesmen (2005)",300.54,NO,"Asthma Symptoms, Cough"
41,"O3 Asthma Symptoms, Shortness of Breath",O3,1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.004228666,No,0.003857042,0.185,Symptom Prevalence,0.0,0.0,0.0,0.0,0,"Asthma Symptoms, Shortness of Breath","WTP: 1 symptom-day, Dickie and Mesmen (2005)",300.54,NO,"Asthma Symptoms, Shortness of Breath"
42,"O3 Asthma Symptoms, Wheeze",O3,1.0,Ozone,Lewis et al.,2013,5,12,(1-(1/((1-A)*EXP(Beta*DELTAO)+A)))*A*POP*Incidence,0.007638602,No,0.004096148,0.194,Symptom Prevalence,0.0,0.0,0.0,0.0,0,"Asthma Symptoms, Wheeze","WTP: 1 symptom-day, Dickie and Mesmen (2005)",300.54,NO,"Asthma Symptoms, Wheeze"
43,"O3 Incidence, Hay Fever/Rhinitis",O3,1.0,Annual,Parker et al.,2009,3,17,(1-(1/((1-Incidence)*EXP(Beta*A*DELTAO)+Incidence)))*Incidence*POP,0.016551444,No,0.003898959,0.653594771,Inverse of mean summer ratio of 8 hr max to 24 hr mean ozone (1.53); 78 communities 2000 - 2004 from Anderson and Bell 2008 (Table 2); used to scale beta value to 8-hr max exposure metric,0.0,0.0,0.0,0.0,0,"Incidence, Hay Fever/Rhinitis",COI: 1 yr med costs,865.46,NO,"Incidence, Hay Fever/Rhinitis"
44,"O3 Incidence, Asthma",O3,1.0,Annual,Tetreault et al.,2016,0,4,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*(1-A),0.020754187,No,0.0014627,0.038,Prevalence of Asthma,0.0,0.0,0.0,0.0,0,"Incidence, Asthma","COI: lifetime med, lifetime productivity, 3%, 7% DR",63797.29,YES,"Incidence, Asthma"
45,"O3 Incidence, Asthma",O3,0.5,Annual,Tetreault et al.,2016,5,17,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*(1-A),0.020754187,No,0.0014627,0.089307692,Prevalence of Asthma,0.0,0.0,0.0,0.0,0,"Incidence, Asthma","COI: lifetime med, lifetime productivity, 3%, 7% DR",63797.29,YES,"Incidence, Asthma"
46,"O3 Incidence, Asthma",O3,0.5,Annual,Garcia et al.,2019,9,18,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*(1-A),0.016946392,No,0.010941041,0.0947,Prevalence of Asthma,0.0,0.0,0.0,0.0,0,"Incidence, Asthma","COI: lifetime med, lifetime productivity, 3%, 7% DR",63797.29,YES,"Incidence, Asthma"
47,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Mar and Koenig,2009,0,14,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.010436002,No,0.004357595,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
48,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Mar and Koenig,2009,15,17,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.010436002,No,0.004357595,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
49,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Mar and Koenig,2009,18,34,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,No,0.002687768,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
50,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Mar and Koenig,2009,35,44,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,No,0.002687768,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
51,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Mar and Koenig,2009,45,64,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,No,0.002687768,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
52,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Mar and Koenig,2009,65,74,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,No,0.002687768,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
53,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Mar and Koenig,2009,75,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.003922071,No,0.002687768,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
54,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Paulu and Smith,2008,2,14,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.010436002,No,0.005027139,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
55,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Paulu and Smith,2008,15,17,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.014842001,No,0.003524243,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
56,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Paulu and Smith,2008,18,34,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.014842001,No,0.003524243,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
57,"O3 Emergency Room Visits, Asthma",O3,0.166666667,Annual,Villeneuve et al.,2007,2,4,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.003237162,No,0.003342244,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
58,"O3 Emergency Room Visits, Asthma",O3,0.166666667,Annual,Villeneuve et al.,2007,5,14,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.007279348,No,0.00235716,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
59,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Villeneuve et al.,2007,15,17,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.005797779,No,0.001789877,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
60,"O3 Emergency Room Visits, Asthma",O3,0.333333333,Annual,Villeneuve et al.,2007,18,34,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.005797779,No,0.001789877,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
61,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Villeneuve et al.,2007,35,44,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.005797779,No,0.001789877,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
62,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Villeneuve et al.,2007,45,64,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.006296038,No,0.003275393,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
63,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Villeneuve et al.,2007,65,74,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,0.007279348,No,0.005543922,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
64,"O3 Emergency Room Visits, Asthma",O3,0.5,Annual,Villeneuve et al.,2007,75,99,(1-(1/((1-Incidence)*EXP(Beta*DELTAO)+Incidence)))*Incidence*POP,-0.000558352,No,0.006683743,0.0,0.0,0.0,0.0,0.0,0.0,0,"Emergency Room Visits, Asthma",,644.1800000000001,NO,"Emergency Room Visits, Asthma"
65,"O3 School Loss Days, All Cause",O3,1.0,Annual,Gilliland et al.,2001,5,17,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*A*B,0.007824,No,0.004444898,0.3929,Scalar for % of school days in ozone season,0.945,Population of school children at-risk for a new absence,0.0,0.0,0,School Loss Days,"School loss days, based on daily wages, 3% DR",1419.77,YES,School Loss Days
66,"O3 Mortality, Long-term exposure",O3,1.0,Annual,Turner et al.,2016,30,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP,0.007696104,No,0.001175794,0.0,0.0,0.0,0.0,0.0,0.0,0,"Mortality, Respiratory","VSL, based on 26 value-of-life studies, with Cessation Lag, 3%, 7% d.r.",12252752.709999999,YES,"Mortality, Respiratory"
67,"O3 Mortality, Short-term exposure",O3,0.5,Ozone,Katsouyanni et al.,2009,0,99,(1-(1/EXP(Beta*B*DELTAO)))*Incidence*POP*A,0.000727348,No,0.000567311,0.002739726,Scalar to convert annual mortality rate to daily rate,1.13,Mean summer ratio of 1 hr max to 8 hr max ozone; 78 communities 2000 - 2004 from Anderson and Bell 2008; used to scale beta value to 8-hr max exposure metric,0.0,0.0,0,"Mortality, Respiratory","VSL, based on 26 value-of-life studies, with Cessation Lag, 3%, 7% d.r.",12252752.709999999,YES,"Mortality, Respiratory"
68,"O3 Mortality, Short-term exposure",O3,0.5,Ozone,Zanobetti and Schwartz,2008,0,99,(1-(1/EXP(Beta*DELTAO)))*Incidence*POP*A,0.000826574,No,0.000227703,0.002739726,Scalar to convert annual mortality rate to daily rate,0.0,0.0,0.0,0.0,0,"Mortality, Respiratory","VSL, based on 26 value-of-life studies, with Cessation Lag, 3%, 7% d.r.",12252752.709999999,YES,"Mortality, Respiratory"
